Model,Role,Condition,Harm,Metric,trials,mean,sd,se,ci,order1,order2,Format,Cases,Grading,Type,Label
Consensus,Agent1,Solo,NA,Accuracy,10,80.262,0.742,0.235,0.46,NA,NA,NO,AllCases,Unanimous,AllHarm,<span style='color:black'><b>LLM Consensus</b></span>
claude-3.7-sonnet,Agent1,Solo,NA,Accuracy,10,79.838,0.778,0.246,0.482,NA,NA,NO,AllCases,Unanimous,AllHarm,claude-3.7-sonnet
deepseek-r1,Agent1,Solo,NA,Accuracy,11,80.147,1.139,0.343,0.673,NA,NA,NO,AllCases,Unanimous,AllHarm,deepseek-r1
gemini-2.0-flash,Agent1,Solo,NA,Accuracy,10,85.825,0.865,0.274,0.536,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.0-flash
gemini-2.5-flash,Agent1,Solo,NA,Accuracy,14,82.155,1.262,0.337,0.661,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-flash
gemini-2.5-pro,Agent1,Solo,NA,Accuracy,21,77.097,1.816,0.396,0.777,NA,NA,NO,AllCases,Unanimous,AllHarm,gemini-2.5-pro
gpt-4.1,Agent1,Solo,NA,Accuracy,10,80.219,0.566,0.179,0.351,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1
gpt-4.1-mini,Agent1,Solo,NA,Accuracy,10,75.201,0.714,0.226,0.442,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4.1-mini
gpt-4o,Agent1,Solo,NA,Accuracy,10,74.573,1.282,0.405,0.794,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o
gpt-4o-mini,Agent1,Solo,NA,Accuracy,10,57.42,1.644,0.52,1.019,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-4o-mini
gpt-5,Agent1,Solo,NA,Accuracy,10,73.501,1.346,0.426,0.834,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5
gpt-5-mini,Agent1,Solo,NA,Accuracy,10,72.969,1.191,0.377,0.738,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-mini
gpt-5-nano,Agent1,Solo,NA,Accuracy,10,68.493,2.101,0.664,1.302,NA,NA,NO,AllCases,Unanimous,AllHarm,gpt-5-nano
