Model,Team,Condition,Harm,Metric,trials,mean,sd,se,ci,Format,Cases,Grading,Type,Model1,Model2,Model3,Provider,Label,Exclude
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.569,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Claude 3.7 Sonnet,NA,Anthropic + Anthropic,NA,NA
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.492,0.043,0.025,0.048,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,DeepSeek R1,NA,Anthropic + DeepSeek,NA,NA
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.618,0.007,0.004,0.008,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-4.1,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.488,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.553,0.039,0.023,0.044,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,GPT-5 mini,NA,Anthropic + OpenAI,NA,NA
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.589,0.031,0.018,0.035,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.0 Flash,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.52,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.549,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Maverick,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.549,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,Llama 4 Scout,NA,Anthropic + Meta,NA,NA
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.516,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,Claude 3.7 Sonnet,o3 mini,NA,Anthropic + OpenAI,NA,NA
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,5,0.517,0.018,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,Gemini 2.5 Pro,NA,Anthropic + Google,NA,NA
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.555,0.029,0.009,0.018,NO,AllCases,Unanimous,AllHarm,Claude Sonnet 4.5,LiSA 1.0,NA,Anthropic + AMBOSS,NA,NA
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Completeness,5,0.595,0.034,0.015,0.03,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Claude 3.7 Sonnet,NA,DeepSeek + Anthropic,NA,NA
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Completeness,8,0.509,0.037,0.013,0.025,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,DeepSeek R1,NA,DeepSeek + DeepSeek,NA,NA
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.598,0.044,0.025,0.05,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,GPT-5 mini,NA,DeepSeek + OpenAI,NA,NA
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,8,0.604,0.028,0.01,0.019,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.0 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.606,0.039,0.012,0.024,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Flash,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.559,0.026,0.008,0.016,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Gemini 2.5 Pro,NA,DeepSeek + Google,NA,NA
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.646,0.036,0.011,0.023,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,LiSA 1.0,NA,DeepSeek + AMBOSS,NA,NA
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.565,0.032,0.01,0.02,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,Llama 4 Maverick,NA,DeepSeek + Meta,NA,NA
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.546,0.038,0.012,0.024,NO,AllCases,Unanimous,AllHarm,DeepSeek R1,o3 mini,NA,DeepSeek + OpenAI,NA,NA
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.593,0.043,0.025,0.048,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Claude 3.7 Sonnet,NA,OpenAI + Anthropic,NA,NA
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.699,0.037,0.022,0.042,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.512,0.044,0.025,0.05,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.585,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,GPT-4.1,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.638,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.589,0.031,0.018,0.035,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.622,0,0,0,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.622,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,GPT-4.1,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.602,0.007,0.004,0.008,NO,AllCases,Unanimous,AllHarm,GPT-4.1,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.419,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,GPT-5,DeepSeek R1,NA,OpenAI + DeepSeek,NA,NA
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.622,0.032,0.019,0.037,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,All,Completeness,8,0.468,0.034,0.012,0.024,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.5,0.012,0.007,0.014,NO,AllCases,Unanimous,AllHarm,GPT-5,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.52,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.516,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Flash,NA,OpenAI + Google,NA,NA
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.516,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,GPT-5,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.51,0.03,0.009,0.018,NO,AllCases,Unanimous,AllHarm,GPT-5,LiSA 1.0,NA,OpenAI + AMBOSS,NA,NA
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.467,0.037,0.022,0.042,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Maverick,NA,OpenAI + Meta,NA,NA
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.496,0.028,0.016,0.032,NO,AllCases,Unanimous,AllHarm,GPT-5,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.455,0.037,0.022,0.042,NO,AllCases,Unanimous,AllHarm,GPT-5,o3 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Completeness,5,0.659,0.027,0.012,0.024,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-4.1,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.492,0.007,0.004,0.008,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.516,0.031,0.018,0.035,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,GPT-5 mini,NA,OpenAI + OpenAI,NA,NA
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.537,0.044,0.025,0.05,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Gemini 2.0 Flash,NA,OpenAI + Google,NA,NA
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.557,0.019,0.011,0.021,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Gemini 2.5 Pro,NA,OpenAI + Google,NA,NA
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.472,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,Llama 4 Scout,NA,OpenAI + Meta,NA,NA
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.459,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,GPT-5 mini,o3 mini,NA,OpenAI + OpenAI,NA,NA
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,All,Completeness,9,0.634,0.027,0.009,0.017,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Claude 3.7 Sonnet,NA,Google + Anthropic,NA,NA
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.553,0.043,0.025,0.048,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,DeepSeek R1,NA,Google + DeepSeek,NA,NA
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.703,0.039,0.023,0.044,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,GPT-4.1,NA,Google + OpenAI,NA,NA
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.545,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,GPT-5,NA,Google + OpenAI,NA,NA
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.602,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,GPT-5 mini,NA,Google + OpenAI,NA,NA
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.659,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Gemini 2.0 Flash,NA,Google + Google,NA,NA
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.533,0.025,0.015,0.029,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Gemini 2.5 Pro,NA,Google + Google,NA,NA
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,5,0.663,0.011,0.005,0.01,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Llama 4 Maverick,NA,Google + Meta,NA,NA
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.663,0.014,0.008,0.016,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,Llama 4 Scout,NA,Google + Meta,NA,NA
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,5,0.627,0.029,0.013,0.026,NO,AllCases,Unanimous,AllHarm,Gemini 2.0 Flash,o3 mini,NA,Google + OpenAI,NA,NA
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.537,0.037,0.021,0.041,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,DeepSeek R1,NA,Google + DeepSeek,NA,NA
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,All,Completeness,3,0.634,0.021,0.012,0.024,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,GPT-5 mini,NA,Google + OpenAI,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.615,0.019,0.006,0.012,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Flash,NA,Google + Google,NA,NA
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,All,Completeness,8,0.553,0.031,0.011,0.021,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Gemini 2.5 Pro,NA,Google + Google,NA,NA
Gemini 2.5 Flash + LiSA 1.0,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.673,0.034,0.011,0.021,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,LiSA 1.0,NA,Google + AMBOSS,NA,NA
Gemini 2.5 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,All,Completeness,10,0.622,0.031,0.01,0.02,NO,AllCases,Unanimous,AllHarm,Gemini 2.5 Flash,Llama 4 Maverick,NA,Google + Meta,NA,NA
